適用年,芝ダ,参照期間,CalibrationN,Q20_×上限,Q60_△上限,Q80_○上限,◎下限
2024,芝,2023-2023,617,0.046424380005963675,0.17552002326287855,0.2623110331770935,0.2623110331770935
2024,ダ,2023-2023,660,0.03927176199241119,0.10940338865099401,0.18428023557182382,0.18428023557182382
2025,芝,2023-2024,1242,0.055439704040743845,0.15622921710835977,0.21832695946429406,0.21832695946429406
2025,ダ,2023-2024,1456,0.04355196249378824,0.12088736255398648,0.17748294070996962,0.17748294070996962
2026,芝,2023-2025,2025,0.061884882099308244,0.15308207718551956,0.20811915723577498,0.20811915723577498
2026,ダ,2023-2025,2263,0.047737485418958815,0.12015382456668704,0.16774136865437528,0.16774136865437528
