血統登録番号,StartDashScore,EarlyTrackingScore,DashMinusTracking,PastPositionScore,HistoryN,StructureSpread,Reliability,Type
2017110035,73.06,66.78,6.28,87.82,8,0.0836,66.7,バランス型
2017110115,48.99,51.18,-2.19,33.33,1,0.0,7.0,バランス型
2017100527,73.91,70.71,3.2,92.21,8,0.1211,66.7,バランス型
2017101200,52.8,52.8,0.0,50.0,1,0.0,7.0,バランス型
2017101900,62.13,66.15,-4.02,75.36,8,0.1262,66.7,バランス型
2017103841,44.01,48.47,-4.47,35.8,5,0.1245,55.6,バランス型
2017104991,59.05,59.05,0.0,87.5,1,0.0,7.0,バランス型
2017105283,52.84,53.46,-0.62,52.94,8,0.1122,66.7,バランス型
2017105513,52.38,48.6,3.78,46.3,4,0.1155,50.0,バランス型
2017105822,38.06,39.87,-1.81,0.0,2,0.0292,19.8,バランス型
2017106442,59.86,57.98,1.88,74.1,2,0.0833,33.3,バランス型
2014103399,52.21,52.21,0.0,49.1,2,0.0,11.7,バランス型
2014105814,58.91,58.91,0.0,86.67,1,0.0,7.0,バランス型
2015100640,75.96,71.58,4.39,96.62,7,0.0503,49.0,バランス型
2015102395,41.37,41.24,0.13,28.8,8,0.0505,51.4,バランス型
2015104753,73.65,66.75,6.9,88.32,8,0.0697,62.0,バランス型
2016100520,35.53,40.13,-4.6,21.53,8,0.0946,66.7,バランス型
2016101053,31.19,34.79,-3.6,5.32,5,0.0452,40.4,バランス型
2016102143,65.42,64.12,1.3,76.61,8,0.0317,41.0,バランス型
2016102287,60.34,56.21,4.13,71.89,2,0.075,32.5,バランス型
2016106426,56.69,56.69,0.0,73.33,1,0.0,7.0,バランス型
2016106483,54.69,54.69,0.0,58.29,2,0.0,11.7,バランス型
2014104973,49.72,58.41,-8.69,53.36,8,0.1626,66.7,追走持続型
2015100243,58.94,55.23,3.7,62.82,5,0.0456,40.6,バランス型
2015103488,42.75,46.37,-3.62,34.91,8,0.1153,66.7,バランス型
2015104876,54.16,43.63,10.53,45.63,8,0.1161,66.7,テン型
2016102904,65.51,62.85,2.65,75.79,8,0.0863,66.7,バランス型
2016104587,57.43,55.18,2.25,71.43,1,0.0,7.0,バランス型
2016104728,51.05,49.22,1.84,47.11,8,0.0643,59.0,バランス型
2016104871,41.3,46.17,-4.87,33.04,8,0.0964,66.7,バランス型
2017100601,71.82,69.57,2.25,88.73,8,0.0513,51.8,バランス型
2017101765,61.69,59.16,2.53,68.0,8,0.0758,65.4,バランス型
2017102257,55.48,56.45,-0.98,60.08,4,0.0239,27.5,バランス型
2017102562,41.32,44.63,-3.3,26.33,4,0.0695,46.4,バランス型
2017105632,44.4,43.92,0.48,33.98,7,0.0694,59.1,バランス型
2017106130,67.09,66.1,0.99,80.33,8,0.0572,55.1,バランス型
2017106483,39.59,42.97,-3.38,8.32,2,0.0833,33.3,バランス型
2017110048,54.74,54.46,0.29,57.96,2,0.0333,20.9,バランス型
2014100524,28.34,36.4,-8.07,9.78,8,0.1001,66.7,追走持続型
2014106082,73.56,63.76,9.8,100.0,3,0.0079,17.8,テン型
2015100904,47.17,50.27,-3.09,25.0,1,0.0,7.0,バランス型
2015102431,54.32,57.96,-3.65,58.61,8,0.1584,66.7,バランス型
2015104198,61.82,60.0,1.83,69.46,7,0.0917,63.6,バランス型
2015105788,34.67,37.66,-2.99,12.79,5,0.0873,55.6,バランス型
2016100752,56.24,55.15,1.08,58.19,8,0.0685,61.4,バランス型
2016100970,51.69,52.25,-0.57,50.49,8,0.1028,66.7,バランス型
2016102102,49.51,48.93,0.58,44.93,8,0.0546,53.7,バランス型
2016103398,42.15,43.66,-1.51,32.0,8,0.105,66.7,バランス型
2016110026,55.12,55.01,0.11,57.13,6,0.0535,47.8,バランス型
2017100159,69.86,61.83,8.03,91.47,3,0.0865,42.9,テン型
