年月日,場所,R,馬番,レース名,芝・ダ,距離,馬名,性別,騎手,調教師,所属,父,芝・ダ,コースID,所属,日にち判定,前日判定,水曜日判定,木曜日判定,先週の土曜日判定,先週の日曜日判定,2w前の土曜日判定,2w前の日曜日判定,坂2w前 土 TIME1,坂2w前 土 LAP1,坂2w前 土 LAP2,坂2w前 日 TIME1,坂2w前 日 LAP1,坂2w前 日 LAP2,坂1w前 土 TIME1,坂1w前 土 LAP1,坂1w前 土 LAP2,坂1w前 日 TIME1,坂1w前 日 LAP1,坂1w前 日 LAP2, 坂 水 TIME1, 坂 水 LAP1, 坂 水 LAP2, 坂 水 LAP3, 坂 水 LAP4, 坂 木 TIME1, 坂 木 LAP1, 坂 木 LAP2, 坂 木 LAP3, 坂 木 LAP4, 坂 前日 TIME1,ウ2w前 土 １F,ウ2w前 日 １F,ウ1w前 土 １F,ウ1w前 土 5F,ウ1w前 日 １F,ウ1w前 日 5F,ウ 水 1F,ウ 水 4F,ウ 水 5F,ウ 水 6F,ウ 木 1F,ウ 木 4F,ウ 木 5F,ウ 木 6F,調教師判定,ウ 水1F,ウ 木1F,ウ 1F判定,ウ 前日 5F,水曜日A3,木曜日A3,A3LAP判定,水曜日B3,木曜日B3,B3LAP判定,前日坂路時計,前日坂路TIME１判定,水曜坂路爆速,木曜坂路爆速,坂路爆速判定,水曜地雷ラップ,木曜地雷ラップ,地雷ラップ判定,コース判定,A3高勝率Lap,本命候補判定,相手候補判定,ZI,脚質,枠,レースID,血統登録番号
20260906,札幌,1,11,未勝利・牝,ダ,1700,マスカルポーネ,牝,斎藤新,水野貴広,美,リオンディーズ,1,札幌ダ1700,1,R8.9.6,マスカルポーネ46270,マスカルポーネ46267,マスカルポーネ46268,マスカルポーネ46263,マスカルポーネ46264,マスカルポーネ46256,マスカルポーネ46257,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,111,先,7,2.02609E+17,23104632
20260906,札幌,1,12,未勝利・牝,ダ,1700,ティンクルバレット,牝,古川奈穂,池添学,栗,ミッキーアイル,1,札幌ダ1700,2,R8.9.6,ティンクルバレット46270,ティンクルバレット46267,ティンクルバレット46268,ティンクルバレット46263,ティンクルバレット46264,ティンクルバレット46256,ティンクルバレット46257,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,FALSE,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,101,差,8,2.02609E+17,23107042
20260906,札幌,1,13,未勝利・牝,ダ,1700,サマースプラッシュ,牝,和田陽希,石栗龍彦,美,アポロケンタッキー,1,札幌ダ1700,1,R8.9.6,サマースプラッシュ46270,サマースプラッシュ46267,サマースプラッシュ46268,サマースプラッシュ46263,サマースプラッシュ46264,サマースプラッシュ46256,サマースプラッシュ46257,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,91,差,8,2.02609E+17,23106163
20260906,札幌,2,1,未勝利*,芝,2000,マイネルリコルディ,牡,丹内祐次,青木孝文,美,ゴールドシップ,2,札幌芝2000,1,R8.9.6,マイネルリコルディ46270,マイネルリコルディ46267,マイネルリコルディ46268,マイネルリコルディ46263,マイネルリコルディ46264,マイネルリコルディ46256,マイネルリコルディ46257,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,114,先,1,2.02609E+17,24103650
20260906,札幌,2,2,未勝利*,芝,2000,ロゼプレミア,牡,鮫島克駿,東田明士,栗,ワールドプレミア,2,札幌芝2000,2,R8.9.6,ロゼプレミア46270,ロゼプレミア46267,ロゼプレミア46268,ロゼプレミア46263,ロゼプレミア46264,ロゼプレミア46256,ロゼプレミア46257,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,117,　,2,2.02609E+17,24103201
20260906,札幌,2,3,未勝利*,芝,2000,ソフィーサンライズ,牝,小沢大仁,矢作芳人,栗,コントレイル,2,札幌芝2000,2,R8.9.6,ソフィーサンライズ46270,ソフィーサンライズ46267,ソフィーサンライズ46268,ソフィーサンライズ46263,ソフィーサンライズ46264,ソフィーサンライズ46256,ソフィーサンライズ46257,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,90,　,3,2.02609E+17,24101203
20260906,札幌,2,4,未勝利*,芝,2000,アオイゲート,牝,横山武史,伊藤圭三,美,キズナ,2,札幌芝2000,1,R8.9.6,アオイゲート46270,アオイゲート46267,アオイゲート46268,アオイゲート46263,アオイゲート46264,アオイゲート46256,アオイゲート46257,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,107,　,4,2.02609E+17,24105988
20260906,札幌,2,5,未勝利*,芝,2000,ラヴァンドローリエ,牝,古川吉洋,宮徹,栗,ダノンスマッシュ,2,札幌芝2000,2,R8.9.6,ラヴァンドローリエ46270,ラヴァンドローリエ46267,ラヴァンドローリエ46268,ラヴァンドローリエ46263,ラヴァンドローリエ46264,ラヴァンドローリエ46256,ラヴァンドローリエ46257,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,96,　,5,2.02609E+17,24103131
20260906,札幌,2,6,未勝利*,芝,2000,イッペイ,牡,浜中俊,松永幹夫,栗,エフフォーリア,2,札幌芝2000,2,R8.9.6,イッペイ46270,イッペイ46267,イッペイ46268,イッペイ46263,イッペイ46264,イッペイ46256,イッペイ46257,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,118,追,6,2.02609E+17,24104442
20260906,札幌,2,7,未勝利*,芝,2000,マサノブルスカイ,牡,和田陽希,藤野健太,栗,エピファネイア,2,札幌芝2000,2,R8.9.6,マサノブルスカイ46270,マサノブルスカイ46267,マサノブルスカイ46268,マサノブルスカイ46263,マサノブルスカイ46264,マサノブルスカイ46256,マサノブルスカイ46257,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,98,　,7,2.02609E+17,24105151
